Data_Flow_ID,Flow_Run_Date,Settlement_Date,Settlement_Run_Type,SAA_Run_Number,CDCA_Run_Number,SVAA_Settlement_Date,SVAA_Run_Number,SSR_Run_Number,BSC_Party_ID,Settlement_Period,Market_Index_Data_Provider_ID,Individual_Liquidity_Threshold,Market_Index_Price,Market_Index_Volume,SortKey
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,1,APXMIDP,25,26.62,435.85,2020020701DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,1,N2EXMIDP,25,0,0,2020020701DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,2,APXMIDP,25,32.62,410.3,2020020702DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,2,N2EXMIDP,25,0,0,2020020702DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,3,APXMIDP,25,30.51,615.55,2020020703DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,3,N2EXMIDP,25,0,0,2020020703DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,4,APXMIDP,25,27.82,482.3,2020020704DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,4,N2EXMIDP,25,0,0,2020020704DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,5,APXMIDP,25,30.08,620.85,2020020705DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,5,N2EXMIDP,25,0,0,2020020705DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,6,APXMIDP,25,28.91,605.5,2020020706DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,6,N2EXMIDP,25,0,0,2020020706DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,7,APXMIDP,25,29.39,677.9,2020020707DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,7,N2EXMIDP,25,0,0,2020020707DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,8,APXMIDP,25,24.81,700.05,2020020708DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,8,N2EXMIDP,25,0,0,2020020708DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,9,APXMIDP,25,26.48,840,2020020709DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,9,N2EXMIDP,25,0,0,2020020709DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,10,APXMIDP,25,24.17,657.8,2020020710DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,10,N2EXMIDP,25,0,0,2020020710DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,11,APXMIDP,25,32.06,696.1,2020020711DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,11,N2EXMIDP,25,0,0,2020020711DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,12,APXMIDP,25,32.2,653.45,2020020712DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,12,N2EXMIDP,25,0,0,2020020712DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,13,APXMIDP,25,30.89,777.2,2020020713DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,13,N2EXMIDP,25,0,0,2020020713DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,14,APXMIDP,25,31.99,912.3,2020020714DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,14,N2EXMIDP,25,0,0,2020020714DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,15,APXMIDP,25,41.86,1010.3,2020020715DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,15,N2EXMIDP,25,0,0,2020020715DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,16,APXMIDP,25,47.82,1065.3,2020020716DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,16,N2EXMIDP,25,0,0,2020020716DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,17,APXMIDP,25,42.58,990.3,2020020717DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,17,N2EXMIDP,25,0,0,2020020717DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,18,APXMIDP,25,39.55,1101.7,2020020718DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,18,N2EXMIDP,25,0,0,2020020718DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,19,APXMIDP,25,38.08,1044.65,2020020719DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,19,N2EXMIDP,25,0,0,2020020719DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,20,APXMIDP,25,33.16,1217.05,2020020720DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,20,N2EXMIDP,25,0,0,2020020720DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,21,APXMIDP,25,31.88,1069.45,2020020721DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,21,N2EXMIDP,25,0,0,2020020721DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,22,APXMIDP,25,29.25,1162.8,2020020722DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,22,N2EXMIDP,25,0,0,2020020722DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,23,APXMIDP,25,30.68,1759.15,2020020723DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,23,N2EXMIDP,25,0,0,2020020723DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,24,APXMIDP,25,31.7,1564.15,2020020724DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,24,N2EXMIDP,25,0,0,2020020724DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,25,APXMIDP,25,29.48,1505.95,2020020725DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,25,N2EXMIDP,25,0,0,2020020725DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,26,APXMIDP,25,28.37,1454.85,2020020726DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,26,N2EXMIDP,25,0,0,2020020726DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,27,APXMIDP,25,24.93,1209.25,2020020727DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,27,N2EXMIDP,25,0,0,2020020727DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,28,APXMIDP,25,24.47,957.1,2020020728DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,28,N2EXMIDP,25,0,0,2020020728DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,29,APXMIDP,25,24.51,1567,2020020729DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,29,N2EXMIDP,25,0,0,2020020729DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,30,APXMIDP,25,26.25,1526.65,2020020730DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,30,N2EXMIDP,25,0,0,2020020730DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,31,APXMIDP,25,28.81,1777.1,2020020731DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,31,N2EXMIDP,25,0,0,2020020731DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,32,APXMIDP,25,35.54,1543.65,2020020732DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,32,N2EXMIDP,25,0,0,2020020732DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,33,APXMIDP,25,32,1636.35,2020020733DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,33,N2EXMIDP,25,0,0,2020020733DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,34,APXMIDP,25,37.51,1644.1,2020020734DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,34,N2EXMIDP,25,0,0,2020020734DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,35,APXMIDP,25,40.27,1722.6,2020020735DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,35,N2EXMIDP,25,0,0,2020020735DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,36,APXMIDP,25,39.65,1494.85,2020020736DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,36,N2EXMIDP,25,0,0,2020020736DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,37,APXMIDP,25,39.96,1744.55,2020020737DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,37,N2EXMIDP,25,0,0,2020020737DF
S0142011,20220601,20200207,DF,7,19,20200207,19,55492,NGC,38,APXMIDP,25,36.98,1784,2020020738DF
